order,category,header,symbol,kind,requirement,option_codes,implementation_status,header_evidence,libc_source,syscall,kernel_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
1,filesystem,<dirent.h>,alphasort,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/alphasort.html
2,filesystem,<sys/stat.h>,chmod,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/chmod.html
3,filesystem,<dirent.h>,closedir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/closedir.html
4,filesystem,<fcntl.h>,creat,function,required,,implemented,libc/include/fcntl.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/creat.html
5,filesystem,<dirent.h>,dirfd,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/dirfd.html
6,filesystem,<sys/stat.h>,fchmod,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fchmod.html
7,filesystem,<sys/stat.h>,fchmodat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fchmodat.html
8,filesystem,<fcntl.h>,fcntl,function,required,,implemented,libc/include/fcntl.h|libc/include/spawn.h,userland/base/libc/utmpx.c|userland/base/libc/termios.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fcntl.html
9,filesystem,<dirent.h>,fdopendir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fdopendir.html
10,filesystem,<sys/stat.h>,fstat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fstat.html
11,filesystem,<sys/stat.h>,fstatat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fstatat.html
12,filesystem,<sys/statvfs.h>,fstatvfs,function,required,,implemented,libc/include/sys/statvfs.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/fstatvfs.html
13,filesystem,<sys/stat.h>,futimens,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/futimens.html
14,filesystem,<sys/stat.h>,lstat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/lstat.html
15,filesystem,<sys/stat.h>,mkdir,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mkdir.html
16,filesystem,<sys/stat.h>,mkdirat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mkdirat.html
17,filesystem,<sys/stat.h>,mkfifo,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mkfifo.html
18,filesystem,<sys/stat.h>,mkfifoat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/mkfifoat.html
19,filesystem,<fcntl.h>,open,function,required,,implemented,libc/include/fcntl.h,userland/base/libc/shm.c|userland/base/libc/utmpx.c|userland/base/libc/termios.c|userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/open.html
20,filesystem,<fcntl.h>,openat,function,required,,implemented,libc/include/fcntl.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/openat.html
21,filesystem,<dirent.h>,opendir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/opendir.html
22,filesystem,<dirent.h>,readdir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/readdir.html
23,filesystem,<dirent.h>,readdir_r,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/readdir_r.html
24,filesystem,<dirent.h>,rewinddir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/rewinddir.html
25,filesystem,<dirent.h>,scandir,function,required,,implemented,libc/include/dirent.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2-remaining.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/scandir.html
26,filesystem,<sys/stat.h>,stat,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/stat.html
27,filesystem,<sys/statvfs.h>,statvfs,function,required,,implemented,libc/include/sys/statvfs.h,userland/base/libc/posix.c,,,userland/base/tests/posix-r2.c,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/statvfs.html
28,filesystem,<sys/stat.h>,umask,function,required,,implemented,libc/include/sys/stat.h,userland/base/libc/posix.c,,,,,reviewed,,not-needed,https://pubs.opengroup.org/onlinepubs/9699919799/functions/umask.html
