path	structure	body-mechanical	semantic-review
userland/X11/libX11/xlib.c	pass	uncleared	uncleared
userland/X11/xzed/input-posix.c	pass	pass	uncleared
userland/X11/xzed/input.c	pass	uncleared	uncleared
userland/X11/xzed/input.h	pass	not-applicable	not-applicable
userland/X11/xzed/main.c	pass	uncleared	uncleared
userland/X11/xzed/pointer.h	pass	not-applicable	not-applicable
userland/X11/zshell/main.c	pass	pass	uncleared
userland/X11/zterm/main.c	pass	pass	uncleared
userland/X11/zwm/main.c	pass	uncleared	uncleared
userland/base/ar/main.c	pass	uncleared	uncleared
userland/base/at/main.c	pass	uncleared	uncleared
userland/base/awk/main.c	pass	uncleared	uncleared
userland/base/basename/main.c	pass	pass	uncleared
userland/base/bc/main.c	pass	uncleared	uncleared
userland/base/bc/number.c	pass	uncleared	uncleared
userland/base/bc/number.h	pass	not-applicable	not-applicable
userland/base/blkid/main.c	pass	pass	uncleared
userland/base/cal/main.c	pass	uncleared	uncleared
userland/base/cat/main.c	pass	pass	uncleared
userland/base/cflow/main.c	pass	uncleared	uncleared
userland/base/chgrp/main.c	pass	pass	uncleared
userland/base/chmod/main.c	pass	uncleared	uncleared
userland/base/chown/main.c	pass	pass	uncleared
userland/base/cksum/main.c	pass	uncleared	uncleared
userland/base/cmp/main.c	pass	pass	uncleared
userland/base/comm/main.c	pass	uncleared	uncleared
userland/base/common/archive.c	pass	uncleared	uncleared
userland/base/common/archive.h	pass	not-applicable	not-applicable
userland/base/common/c_parser.c	pass	uncleared	uncleared
userland/base/common/c_parser.h	pass	not-applicable	not-applicable
userland/base/common/command.c	pass	pass	uncleared
userland/base/common/command.h	pass	not-applicable	not-applicable
userland/base/common/elf_symbols.c	pass	uncleared	uncleared
userland/base/common/elf_symbols.h	pass	not-applicable	not-applicable
userland/base/common/lzw.c	pass	uncleared	uncleared
userland/base/common/lzw.h	pass	not-applicable	not-applicable
userland/base/common/pager.c	pass	uncleared	uncleared
userland/base/common/pager.h	pass	not-applicable	not-applicable
userland/base/common/sccs.c	pass	uncleared	uncleared
userland/base/common/sccs.h	pass	not-applicable	not-applicable
userland/base/common/terminfo.c	pass	uncleared	uncleared
userland/base/common/terminfo.h	pass	not-applicable	not-applicable
userland/base/common/uucodec.c	pass	uncleared	uncleared
userland/base/common/uucodec.h	pass	not-applicable	not-applicable
userland/base/compress/main.c	pass	uncleared	uncleared
userland/base/cp/main.c	pass	uncleared	uncleared
userland/base/cron/main.c	pass	uncleared	uncleared
userland/base/crontab/main.c	pass	pass	uncleared
userland/base/csplit/main.c	pass	pass	uncleared
userland/base/curses/curses.c	pass	uncleared	uncleared
userland/base/curses/curses.h	pass	not-applicable	not-applicable
userland/base/cut/main.c	pass	uncleared	uncleared
userland/base/cxref/main.c	pass	uncleared	uncleared
userland/base/date/main.c	pass	pass	uncleared
userland/base/dd/main.c	pass	uncleared	uncleared
userland/base/deferred-stub/main.c	pass	pass	uncleared
userland/base/df/main.c	pass	pass	uncleared
userland/base/dhcpc/main.c	pass	uncleared	uncleared
userland/base/diff/main.c	pass	uncleared	uncleared
userland/base/dirname/main.c	pass	pass	uncleared
userland/base/dmesg/main.c	pass	pass	uncleared
userland/base/du/main.c	pass	pass	uncleared
userland/base/ed/buffer.c	pass	pass	uncleared
userland/base/ed/editor.h	pass	not-applicable	not-applicable
userland/base/ed/main.c	pass	uncleared	uncleared
userland/base/expand/main.c	pass	uncleared	uncleared
userland/base/expr/main.c	pass	uncleared	uncleared
userland/base/fetch/main.c	pass	uncleared	uncleared
userland/base/file/main.c	pass	pass	uncleared
userland/base/find/main.c	pass	uncleared	uncleared
userland/base/fmt/main.c	pass	uncleared	uncleared
userland/base/fold/main.c	pass	uncleared	uncleared
userland/base/fuser/main.c	pass	uncleared	uncleared
userland/base/gencat/main.c	pass	uncleared	uncleared
userland/base/getconf/getconf-table.h	pass	not-applicable	not-applicable
userland/base/getconf/main.c	pass	pass	uncleared
userland/base/gettext/main.c	pass	uncleared	uncleared
userland/base/getty/main.c	pass	uncleared	uncleared
userland/base/grep/main.c	pass	uncleared	uncleared
userland/base/head/main.c	pass	uncleared	uncleared
userland/base/host/main.c	pass	uncleared	uncleared
userland/base/hostname/main.c	pass	pass	uncleared
userland/base/iconv/main.c	pass	uncleared	uncleared
userland/base/id/main.c	pass	pass	uncleared
userland/base/ifconfig/main.c	pass	pass	uncleared
userland/base/infocmp/main.c	pass	pass	uncleared
userland/base/init/main.c	pass	uncleared	uncleared
userland/base/ipcrm/main.c	pass	uncleared	uncleared
userland/base/ipcs/main.c	pass	pass	uncleared
userland/base/join/main.c	pass	pass	uncleared
userland/base/kill/main.c	pass	uncleared	uncleared
userland/base/less/main.c	pass	pass	uncleared
userland/base/libc/account.c	pass	pass	uncleared
userland/base/libc/atomic-runtime.c	pass	pass	uncleared
userland/base/libc/crypt.c	pass	uncleared	uncleared
userland/base/libc/dlfcn.c	pass	pass	uncleared
userland/base/libc/mqueue.c	pass	uncleared	uncleared
userland/base/libc/poll.c	pass	pass	uncleared
userland/base/libc/posix.c	pass	uncleared	uncleared
userland/base/libc/pthread.c	pass	uncleared	uncleared
userland/base/libc/resolver-dns.c	pass	pass	uncleared
userland/base/libc/resolver-internal.h	pass	not-applicable	not-applicable
userland/base/libc/resolver.c	pass	pass	uncleared
userland/base/libc/semaphore.c	pass	pass	uncleared
userland/base/libc/shm.c	pass	pass	uncleared
