path	structure	body-mechanical	semantic-review
userland/X11/libX11/xlib.c	pass	pass	pass
userland/X11/xzed/input-posix.c	pass	pass	pass
userland/X11/xzed/input.c	pass	pass	pass
userland/X11/xzed/input.h	pass	not-applicable	not-applicable
userland/X11/xzed/main.c	pass	pass	pass
userland/X11/xzed/pointer.h	pass	not-applicable	not-applicable
userland/X11/zshell/main.c	pass	pass	pass
userland/X11/zterm/main.c	pass	pass	pass
userland/X11/zwm/main.c	pass	pass	pass
userland/base/ar/main.c	pass	pass	pass
userland/base/at/main.c	pass	pass	pass
userland/base/awk/main.c	pass	pass	pass
userland/base/basename/main.c	pass	pass	pass
userland/base/bc/main.c	pass	pass	pass
userland/base/bc/number.c	pass	pass	pass
userland/base/bc/number.h	pass	not-applicable	not-applicable
userland/base/blkid/main.c	pass	pass	pass
userland/base/cal/main.c	pass	pass	pass
userland/base/cat/main.c	pass	pass	pass
userland/base/cflow/main.c	pass	pass	pass
userland/base/chgrp/main.c	pass	pass	pass
userland/base/chmod/main.c	pass	pass	pass
userland/base/chown/main.c	pass	pass	pass
userland/base/cksum/main.c	pass	pass	pass
userland/base/cmp/main.c	pass	pass	pass
userland/base/comm/main.c	pass	pass	pass
userland/base/common/archive.c	pass	pass	pass
userland/base/common/archive.h	pass	not-applicable	not-applicable
userland/base/common/c_parser.c	pass	pass	pass
userland/base/common/c_parser.h	pass	not-applicable	not-applicable
userland/base/common/command.c	pass	pass	pass
userland/base/common/command.h	pass	not-applicable	not-applicable
userland/base/common/elf_symbols.c	pass	pass	pass
userland/base/common/elf_symbols.h	pass	not-applicable	not-applicable
userland/base/common/lzw.c	pass	pass	pass
userland/base/common/lzw.h	pass	not-applicable	not-applicable
userland/base/common/pager.c	pass	pass	pass
userland/base/common/pager.h	pass	not-applicable	not-applicable
userland/base/common/sccs.c	pass	pass	pass
userland/base/common/sccs.h	pass	not-applicable	not-applicable
userland/base/common/terminfo.c	pass	pass	pass
userland/base/common/terminfo.h	pass	not-applicable	not-applicable
userland/base/common/uucodec.c	pass	pass	pass
userland/base/common/uucodec.h	pass	not-applicable	not-applicable
userland/base/compress/main.c	pass	pass	pass
userland/base/cp/main.c	pass	pass	pass
userland/base/cron/main.c	pass	pass	pass
userland/base/crontab/main.c	pass	pass	pass
userland/base/csplit/main.c	pass	pass	pass
userland/base/curses/curses.c	pass	pass	pass
userland/base/curses/curses.h	pass	not-applicable	not-applicable
userland/base/cut/main.c	pass	pass	pass
userland/base/cxref/main.c	pass	pass	pass
userland/base/date/main.c	pass	pass	pass
userland/base/dd/main.c	pass	pass	pass
userland/base/deferred-stub/main.c	pass	pass	pass
userland/base/df/main.c	pass	pass	pass
userland/base/dhcpc/main.c	pass	pass	pass
userland/base/diff/main.c	pass	pass	pass
userland/base/dirname/main.c	pass	pass	pass
userland/base/dmesg/main.c	pass	pass	pass
userland/base/du/main.c	pass	pass	pass
userland/base/ed/buffer.c	pass	pass	pass
userland/base/ed/editor.h	pass	not-applicable	not-applicable
userland/base/ed/main.c	pass	pass	pass
userland/base/expand/main.c	pass	pass	pass
userland/base/expr/main.c	pass	pass	pass
userland/base/fetch/main.c	pass	pass	pass
userland/base/file/main.c	pass	pass	pass
userland/base/find/main.c	pass	pass	pass
userland/base/fmt/main.c	pass	pass	pass
userland/base/fold/main.c	pass	pass	pass
userland/base/fuser/main.c	pass	pass	pass
userland/base/gencat/main.c	pass	pass	pass
userland/base/getconf/getconf-table.h	pass	not-applicable	not-applicable
userland/base/getconf/main.c	pass	pass	pass
userland/base/gettext/main.c	pass	pass	pass
userland/base/getty/main.c	pass	pass	pass
userland/base/grep/main.c	pass	pass	pass
userland/base/head/main.c	pass	pass	pass
userland/base/host/main.c	pass	pass	pass
userland/base/hostname/main.c	pass	pass	pass
userland/base/iconv/main.c	pass	pass	pass
userland/base/id/main.c	pass	pass	pass
userland/base/ifconfig/main.c	pass	pass	pass
userland/base/infocmp/main.c	pass	pass	pass
userland/base/init/main.c	pass	pass	pass
userland/base/ipcrm/main.c	pass	pass	pass
userland/base/ipcs/main.c	pass	pass	pass
userland/base/join/main.c	pass	pass	pass
userland/base/kill/main.c	pass	pass	pass
userland/base/less/main.c	pass	pass	pass
userland/base/libc/account.c	pass	pass	pass
userland/base/libc/atomic-runtime.c	pass	pass	pass
userland/base/libc/crypt.c	pass	pass	pass
userland/base/libc/dlfcn.c	pass	pass	pass
userland/base/libc/mqueue.c	pass	pass	pass
userland/base/libc/poll.c	pass	pass	pass
userland/base/libc/posix.c	pass	pass	pass
userland/base/libc/pthread.c	pass	pass	pass
userland/base/libc/resolver-dns.c	pass	pass	pass
userland/base/libc/resolver-internal.h	pass	not-applicable	not-applicable
userland/base/libc/resolver.c	pass	pass	pass
userland/base/libc/semaphore.c	pass	pass	pass
userland/base/libc/shm.c	pass	pass	pass
userland/base/libc/signal.c	pass	pass	pass
userland/base/libc/socket.c	pass	pass	pass
userland/base/libc/static-tls.c	pass	pass	pass
userland/base/libc/syscall.h	pass	not-applicable	not-applicable
userland/base/libc/termios.c	pass	pass	pass
userland/base/libc/timer.c	pass	pass	pass
userland/base/libc/utmpx.c	pass	pass	pass
userland/base/libedit/readline/history.h	pass	not-applicable	not-applicable
userland/base/libedit/readline/readline.h	pass	not-applicable	not-applicable
userland/base/libedit/readline.c	pass	pass	pass
userland/base/link/main.c	pass	pass	pass
userland/base/ln/main.c	pass	pass	pass
userland/base/locale/main.c	pass	pass	pass
userland/base/localedef/main.c	pass	pass	pass
userland/base/logger/main.c	pass	pass	pass
userland/base/login/main.c	pass	pass	pass
userland/base/logname/main.c	pass	pass	pass
userland/base/lp/lpd-client.c	pass	pass	pass
userland/base/lp/lpd-client.h	pass	not-applicable	not-applicable
userland/base/lp/main.c	pass	pass	pass
userland/base/ls/main.c	pass	pass	pass
userland/base/m4/engine.c	pass	pass	pass
userland/base/m4/m4.h	pass	not-applicable	not-applicable
userland/base/m4/main.c	pass	pass	pass
userland/base/mesg/main.c	pass	pass	pass
userland/base/mkdir/main.c	pass	pass	pass
userland/base/mkfifo/main.c	pass	pass	pass
userland/base/more/main.c	pass	pass	pass
userland/base/mount/main.c	pass	pass	pass
userland/base/msgfmt/main.c	pass	pass	pass
userland/base/mv/main.c	pass	pass	pass
userland/base/net/dhcp.c	pass	pass	pass
userland/base/net/dhcp.h	pass	not-applicable	not-applicable
userland/base/net/main.c	pass	pass	pass
userland/base/net/netconf.c	pass	pass	pass
userland/base/net/netconf.h	pass	not-applicable	not-applicable
userland/base/net/netutil.c	pass	pass	pass
userland/base/net/netutil.h	pass	not-applicable	not-applicable
userland/base/net/protocol.h	pass	not-applicable	not-applicable
