path	explanation-source	had-bom	body-sha256	explanation
userland/X11/libX11/xlib.c	retained	no	27e44aca9bf2776a53a79bb1f6e989a328e7d8924cf9fa3f3d1acc21900a1789	Minimal Xlib-compatible client library for Xzed.
userland/X11/xzed/input-posix.c	generated	no	7405ed7e2be952cc87090358eb6ff66bd2fe899ebeb35456ffc10c63cc5ef135	Implements the zedBSD X11 input posix component.
userland/X11/xzed/input.c	generated	no	d63d10ec06c4c9f17fb255881bf55816f39034b54ed6b37376af08331cfebcd8	Implements the zedBSD X11 input component.
userland/X11/xzed/input.h	generated	no	03ae147670af8f2598e576801a156611b489c46d19b25dcbfa3e14485717914d	Declares the zedBSD X11 input interface.
userland/X11/xzed/main.c	retained	no	b954d1b5ae9a040d8045afbfead2bc137a7449d8ee6705e1ea829eebd2bd081b	Xzed - small local X11 server for zedBSD Wire constants and layouts follow the public X11 core protocol.
userland/X11/xzed/pointer.h	generated	no	4be020c211e3f829c09a463ea07337803bc5ecc1f0cc5696755cfed944245fcb	Declares the zedBSD X11 pointer interface.
userland/X11/zshell/main.c	retained	no	f5a46b387c590014a86cd1fd5e8ede5025980c38d278a611b56933175eccc8ef	zshell - lightweight Xzed desktop taskbar
userland/X11/zterm/main.c	retained	no	3d925c8ad0f8aeec0d5142646fa4ff7a913cae7408b2b8f8676905a32fcb3729	zterm - compact Unicode VT100 terminal for Xzed
userland/X11/zwm/main.c	retained	no	8afae85b52c9fa53858e89d834340d05951019c1389c46258c0226ee17722cee	zwm - minimal reparenting window manager.
userland/base/ar/main.c	generated	no	ac468edee369e500cc87f8afe2abe2f422a71f410cafd0ad92ce6edd1446d220	Implements the zedBSD ar userland command.
userland/base/at/main.c	generated	no	fc608537d4e996851e8853a9729de4dcaba5a9802ce186fe18360a6699eb9b64	Implements the zedBSD at userland command.
userland/base/awk/main.c	generated	no	6cfafd5300044a50068481179a94b9f4ff5f9e3ce97f9eb05ff23704f8e5aec8	Implements the zedBSD awk userland command.
userland/base/basename/main.c	generated	no	08dd620c33a98b1d0f39fd5900fbe10f7bfec451dc8dc505e399c32855e71460	Implements the zedBSD basename userland command.
userland/base/bc/main.c	generated	no	50762005719f2ea06e307be2da47ef244db1ee8c95b791b0bccf957c48b8868d	Implements the zedBSD bc userland command.
userland/base/bc/number.c	generated	no	daddd5f4fc353eaed25162bd2956d612e7f5c15abbf9bb7caddcc06639ffe069	Implements the zedBSD userland number component.
userland/base/bc/number.h	generated	no	75823e2e1bee6827b89ab9b486bddbbf6d7f9441c95bad8de6aa884b7996bd85	Declares the zedBSD userland number interface.
userland/base/blkid/main.c	retained	no	a6a1a9edb87e9786cc6bf7d6ea17dd9c6f977a9c6638b368136f99ddc342be38	blkid - print block-device attributes.
userland/base/cal/main.c	generated	no	485fc218131805cc7f068a8ed18dd30aeba31e796a024cab3dc25e4ab8f83839	Implements the zedBSD cal userland command.
userland/base/cat/main.c	generated	no	bcdbd563712f82f2eaa6af4b9c7dbaff7519b7d8ff47fc570019071cbbfcce82	Implements the zedBSD cat userland command.
userland/base/cflow/main.c	generated	no	952d0384523ed96be3269fd0c1075afec90480dbf787f1f18340fdb8c356a6e6	Implements the zedBSD cflow userland command.
userland/base/chgrp/main.c	generated	no	7123a874576c953b2c48c51e2ffe10edfc768aa0d2173166eae8c0c2753a6f42	Implements the zedBSD chgrp userland command.
userland/base/chmod/main.c	generated	no	502dcc8130ef775d573902834dd588946e710ca2313f41ad135d7559354d3408	Implements the zedBSD chmod userland command.
userland/base/chown/main.c	generated	no	308e00f4c4bf25efeadb1e72e2448a161f15dbfc819c5acfda47c5816299b66a	Implements the zedBSD chown userland command.
userland/base/cksum/main.c	generated	no	a1ec1a99e246f1abb15f331ed36e7964ba7ae758a81c72b2285890ba430e6e01	Implements the zedBSD cksum userland command.
userland/base/cmp/main.c	generated	no	e2c1508dedafedbc52763aebc03d1f8c00700dc37483232c3b5c44c9131e7b6d	Implements the zedBSD cmp userland command.
userland/base/comm/main.c	generated	no	3201885eecc0968f7ad74e92677769f302461de3a93b85556f34d15534eddc2c	Implements the zedBSD comm userland command.
userland/base/common/archive.c	generated	no	3a1c537184c1792600adf6817df5a810517b81a9d6be16ad0fbe45252c7c04b1	Implements shared userland archive support.
userland/base/common/archive.h	generated	no	1fbe7f847da5d7cd5974017e1f571e7b6d79110407439b7bfd7aafd6c55df9c2	Declares shared userland archive support.
userland/base/common/c_parser.c	generated	no	cdff276d54f7b5ab2d23b66b78fe6203acacfcae26f303399e86b4bbae8953be	Implements shared userland c parser support.
userland/base/common/c_parser.h	generated	no	b0da1beef4360a9283253ed85fc1f2dcb34f6536c319d2060b5620003a001531	Declares shared userland c parser support.
userland/base/common/command.c	generated	no	f501e24892c9b2d283b5d1ac8cc5b12e2497929dd0785c7f69f98b38b03ebe5e	Implements shared userland command support.
userland/base/common/command.h	generated	no	bdb4642cdfdc86954e5572db73e34a6b3f931a2dac30aac72a26ff9442aee74e	Declares shared userland command support.
userland/base/common/elf_symbols.c	generated	no	f3722c54343bb7fe2d9f6800a9b569f5c901638775775ea168f3459591efb98a	Implements shared userland elf symbols support.
userland/base/common/elf_symbols.h	generated	no	763bbf3dd6920c17fa8b3988c504781cef28589981c9ef67cd733e25e26ecad7	Declares shared userland elf symbols support.
userland/base/common/lzw.c	generated	no	8b95320df358faa5fc81910c9f75138936bac07daa6d38fff5fdcfaa136853a6	Implements shared userland lzw support.
userland/base/common/lzw.h	generated	no	412bdc63b44bb5015ed802abb4f94a282b1d04b94509741aa2b95f9b2dfce576	Declares shared userland lzw support.
userland/base/common/pager.c	generated	no	1b2c310cd18bdee85db408e213da566b3447c2295d0a554814dc1d855e370975	Implements shared userland pager support.
userland/base/common/pager.h	generated	no	bfee37313c649d65ed7123097840c1f0e0d0dfdd61022f1f13916929315230dc	Declares shared userland pager support.
userland/base/common/sccs.c	generated	no	496dbb605932407f96d63f258dbd102e7b8b07f7de3e17884877ebd65f7f3b98	Implements shared userland sccs support.
userland/base/common/sccs.h	generated	no	2defaceb13f54109315efcccdb4ca7254b4c9428bec680dd1e9886cd8fac0a1e	Declares shared userland sccs support.
