old	new
console_device_register	drv_console_device_register
console_input_ownership_test_drain	drv_console_input_ownership_test_drain
console_input_ownership_test_pop	drv_console_input_ownership_test_pop
console_input_ownership_test_publish	drv_console_input_ownership_test_publish
console_input_ownership_test_reset	drv_console_input_ownership_test_reset
console_input_ownership_test_state	drv_console_input_ownership_test_state
console_input_poll_event	drv_console_input_poll_event
console_input_read_event	drv_console_input_read_event
dp8390_attach	drv_dp8390_attach
dp8390_interrupt	drv_dp8390_interrupt
dp8390_read_prom	drv_dp8390_read_prom
fat_file_backing_identity	drv_fat_file_backing_identity
fat_file_contiguous_block	drv_fat_file_contiguous_block
fat_file_extents	drv_fat_file_extents
fat_file_set_loop_map	drv_fat_file_set_loop_map
fat_filesystem_type	drv_fat_filesystem_type
fat_probe_type	drv_fat_probe_type
graphics_device_register	drv_graphics_device_register
graphics_device_restore_text	drv_graphics_device_restore_text
hid_report_decode	drv_hid_report_decode
hid_report_layout_boot_keyboard	drv_hid_report_layout_boot_keyboard
hid_report_layout_boot_mouse	drv_hid_report_layout_boot_mouse
hid_report_layout_destroy	drv_hid_report_layout_destroy
hid_report_layout_get_absolute_axis	drv_hid_report_layout_get_absolute_axis
hid_report_layout_get_capability	drv_hid_report_layout_get_capability
hid_report_layout_get_info	drv_hid_report_layout_get_info
hid_report_layout_get_report	drv_hid_report_layout_get_report
hid_report_layout_parse	drv_hid_report_layout_parse
input_capability_abs_info	drv_input_capability_abs_info
input_capability_bits	drv_input_capability_bits
input_capability_copy	drv_input_capability_copy
input_capability_event	drv_input_capability_event
input_capability_key_state	drv_input_capability_key_state
input_capability_state_init	drv_input_capability_state_init
input_core_init	drv_input_core_init
input_device_emit	drv_input_device_emit
input_device_emit_key_event	drv_input_device_emit_key_event
input_device_register	drv_input_device_register
input_device_unregister	drv_input_device_unregister
input_key_from_symbol	drv_input_key_from_symbol
input_key_symbol_supported	drv_input_key_symbol_supported
input_keymap_event_from_code	drv_input_keymap_event_from_code
input_keymap_init	drv_input_keymap_init
input_keymap_translate	drv_input_keymap_translate
input_queue_detach	drv_input_queue_detach
input_queue_init	drv_input_queue_init
input_queue_push	drv_input_queue_push
input_queue_read	drv_input_queue_read
input_queue_readable	drv_input_queue_readable
input_queue_reader_init	drv_input_queue_reader_init
input_subscribe	drv_input_subscribe
input_subscriber_init	drv_input_subscriber_init
input_subscriber_publish	drv_input_subscriber_publish
input_unsubscribe	drv_input_unsubscribe
intel_ax211_assoc_accept	drv_intel_ax211_assoc_accept
intel_ax211_assoc_api89_validate	drv_intel_ax211_assoc_api89_validate
intel_ax211_assoc_begin	drv_intel_ax211_assoc_begin
intel_ax211_assoc_begin_update	drv_intel_ax211_assoc_begin_update
intel_ax211_assoc_cancel	drv_intel_ax211_assoc_cancel
intel_ax211_assoc_current	drv_intel_ax211_assoc_current
intel_ax211_assoc_drive	drv_intel_ax211_assoc_drive
intel_ax211_assoc_expire	drv_intel_ax211_assoc_expire
intel_ax211_assoc_mac_power_api89_validate	drv_intel_ax211_assoc_mac_power_api89_validate
intel_ax211_assoc_mac_power_encode	drv_intel_ax211_assoc_mac_power_encode
intel_ax211_assoc_mac_power_response_validate	drv_intel_ax211_assoc_mac_power_response_validate
intel_ax211_assoc_mcast_filter_api89_validate	drv_intel_ax211_assoc_mcast_filter_api89_validate
intel_ax211_assoc_mcast_filter_encode	drv_intel_ax211_assoc_mcast_filter_encode
intel_ax211_assoc_session_event_accept	drv_intel_ax211_assoc_session_event_accept
intel_ax211_boot_cleanup	drv_intel_ax211_boot_cleanup
intel_ax211_boot_command_table	drv_intel_ax211_boot_command_table
intel_ax211_boot_init	drv_intel_ax211_boot_init
intel_ax211_boot_run	drv_intel_ax211_boot_run
intel_ax211_bss_assoc_metadata	drv_intel_ax211_bss_assoc_metadata
intel_ax211_bss_cache_init	drv_intel_ax211_bss_cache_init
intel_ax211_bss_cache_lookup	drv_intel_ax211_bss_cache_lookup
intel_ax211_bss_cache_observe	drv_intel_ax211_bss_cache_observe
intel_ax211_bss_decode	drv_intel_ax211_bss_decode
intel_ax211_command_after_device_reset	drv_intel_ax211_command_after_device_reset
intel_ax211_command_cancel	drv_intel_ax211_command_cancel
intel_ax211_command_cancel_all	drv_intel_ax211_command_cancel_all
intel_ax211_command_complete	drv_intel_ax211_command_complete
intel_ax211_command_is_poisoned	drv_intel_ax211_command_is_poisoned
intel_ax211_command_nvm_access_complete_encode	drv_intel_ax211_command_nvm_access_complete_encode
intel_ax211_command_nvm_get_info_encode	drv_intel_ax211_command_nvm_get_info_encode
intel_ax211_command_pending_count	drv_intel_ax211_command_pending_count
