phase	old	new	note
p002	include/drivers/disklabel.h	include/drivers/disklabel/disklabel.h	src/drivers/disklabel/*.c
p002	include/drivers/dma.h	include/drivers/generic/dma.h	src/drivers/generic/dma.c
p002	include/drivers/dp8390.h	include/drivers/ethernet/dp8390.h	src/drivers/ethernet/dp8390.c
p002	include/drivers/gpu-display.h	include/drivers/gpu/gpu-display.h	src/drivers/gpu/gpu.c
p002	include/drivers/gpu-fence.h	include/drivers/gpu/gpu-fence.h	src/drivers/gpu/gpu-fence.c
p002	include/drivers/gpu-scanout.h	include/drivers/gpu/gpu-scanout.h	src/drivers/gpu/gpu.c
p002	include/drivers/gpu-share.h	include/drivers/gpu/gpu-share.h	src/drivers/gpu/gpu.c
p002	include/drivers/gpu.h	include/drivers/gpu/gpu.h	src/drivers/gpu/gpu.c
p002	include/drivers/graphics/pc98.h	include/drivers/platform/pc98/graphics/pc98.h	src/drivers/platform/pc98/graphics/pc98-graphics.c
p002	include/drivers/graphics/pcat.h	include/drivers/platform/pcat/graphics/pcat.h	src/drivers/platform/pcat/graphics/pcat-graphics.c
p002	include/drivers/hid/hid-report.h	include/drivers/usb/hid-report.h	src/drivers/usb/usb-hid.c (only kernel user)
p002	include/drivers/hid/pc98-busmouse.h	include/drivers/platform/pc98/pc98-busmouse.h	src/drivers/platform/pc98/pc98-busmouse.c
p002	include/drivers/hid/ps2-8042.h	include/drivers/platform/pcat/ps2-8042.h	src/drivers/platform/pcat/ps2-8042.c
p002	include/drivers/i915.h	include/drivers/pci/pci-i915.h	src/drivers/gpu/i915/ (PCI registration)
p002	include/drivers/pc98-lgy98.h	include/drivers/platform/pc98/pc98-lgy98.h	src/drivers/platform/pc98/pc98-lgy98.c
p002	include/drivers/pcat-ide.h	include/drivers/platform/pcat/pcat-ide.h	src/drivers/platform/pcat/pcat-ide.c
p002	include/drivers/pcat-ne2000.h	include/drivers/isa/pcat-ne2000.h	src/drivers/isa/ne2000.c
p002	include/drivers/pci-ehci.h	include/drivers/pci/pci-ehci.h	src/drivers/pci/pci-ehci.c
p002	include/drivers/pci-intel-ax211.h	include/drivers/wifi/intel-ax211/pci-intel-ax211.h	src/drivers/wifi/intel-ax211/intel-ax211.c
p002	include/drivers/pci-nvme-protocol.h	include/drivers/pci/pci-nvme-protocol.h	src/drivers/pci/pci-nvme.c
p002	include/drivers/pci-nvme.h	include/drivers/pci/pci-nvme.h	src/drivers/pci/pci-nvme.c
