phase	kind	file	line	target	change	text
p002	c-include	include/drivers/gpu-share.h	16	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	include/drivers/gpu.h	16	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	include/drivers/gpu.h	17	include/drivers/gpu-share.h	drivers/gpu-share.h -> drivers/gpu/gpu-share.h	#include <drivers/gpu-share.h>
p002	c-include	include/drivers/gpu.h	18	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	include/drivers/pci-xhci-control.h	15	include/drivers/usb.h	drivers/usb.h -> drivers/usb/usb.h	#include <drivers/usb.h>
p002	c-include	include/drivers/pci.h	22	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	include/drivers/usb.h	25	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/disklabel/gpt.c	12	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/disklabel/mbr.c	11	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/disklabel/pc98.c	12	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/disklabel/pcat.c	12	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/disklabel/sun.c	12	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/disklabel/x68k.c	12	include/drivers/disklabel.h	drivers/disklabel.h -> drivers/disklabel/disklabel.h	#include <drivers/disklabel.h>
p002	c-include	src/drivers/ethernet/dp8390.c	12	include/drivers/dp8390.h	drivers/dp8390.h -> drivers/ethernet/dp8390.h	#include "drivers/dp8390.h"
p002	c-include	src/drivers/generic/dma.c	12	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/gpu-fence.c	14	include/drivers/gpu-fence.h	drivers/gpu-fence.h -> drivers/gpu/gpu-fence.h	#include <drivers/gpu-fence.h>
p002	c-include	src/drivers/gpu/gpu.c	13	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/gpu.c	14	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	src/drivers/gpu/gpu.c	18	include/drivers/gpu-fence.h	drivers/gpu-fence.h -> drivers/gpu/gpu-fence.h	#include <drivers/gpu-fence.h>
p002	c-include	src/drivers/gpu/i915-old/i915.c	21	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915-old/i915.c	22	include/drivers/i915.h	drivers/i915.h -> drivers/pci/pci-i915.h	#include <drivers/i915.h>
p002	c-include	src/drivers/gpu/i915-old/i915.c	32	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	src/drivers/gpu/i915-old/i915.c	33	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	src/drivers/gpu/i915-old/i915.c	34	include/drivers/gpu-share.h	drivers/gpu-share.h -> drivers/gpu/gpu-share.h	#include <drivers/gpu-share.h>
p002	c-include	src/drivers/gpu/i915-old/internal.h	19	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915-old/parity/backend_dma.c	11	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915-old/parity/gt_mem.c	16	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915-old/parity/gt_mem.h	39	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915-old/parity/ktest.c	54	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915-old/parity/pch.c	6	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915-old/parity/probe.c	12	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915-old/parity/resident_display.c	35	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915-old/parity/resident_display.c	36	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	src/drivers/gpu/i915-old/parity/resident_display.c	37	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	src/drivers/gpu/i915-old/parity/vga.c	14	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915-old/request.c	25	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/command.c	32	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/device.c	29	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/device.c	30	include/drivers/i915.h	drivers/i915.h -> drivers/pci/pci-i915.h	#include <drivers/i915.h>
p002	c-include	src/drivers/gpu/i915/device.c	31	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/display/capture.c	93	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/display/capture.c	94	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	src/drivers/gpu/i915/display/display.c	57	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/display/display.c	58	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	src/drivers/gpu/i915/display/display.c	59	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	src/drivers/gpu/i915/display/display.c	60	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/display/present.c	52	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/display/present.c	53	include/drivers/gpu-display.h	drivers/gpu-display.h -> drivers/gpu/gpu-display.h	#include <drivers/gpu-display.h>
p002	c-include	src/drivers/gpu/i915/display/scanout.c	46	include/drivers/gpu.h	drivers/gpu.h -> drivers/gpu/gpu.h	#include <drivers/gpu.h>
p002	c-include	src/drivers/gpu/i915/display/scanout.c	47	include/drivers/gpu-scanout.h	drivers/gpu-scanout.h -> drivers/gpu/gpu-scanout.h	#include <drivers/gpu-scanout.h>
p002	c-include	src/drivers/gpu/i915/display/takeover.c	76	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
p002	c-include	src/drivers/gpu/i915/dma.c	23	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/gt.h	19	include/drivers/dma.h	drivers/dma.h -> drivers/generic/dma.h	#include <drivers/dma.h>
p002	c-include	src/drivers/gpu/i915/gt.h	20	include/drivers/pci.h	drivers/pci.h -> drivers/pci/pci.h	#include <drivers/pci.h>
