phase	kind	file	line	target(old)	change	text	exempt
p002	docs	AGENTS.md	386	include/drivers/i915.h	stale: path -> include/drivers/pci/pci-i915.h	- `include/drivers/i915.h`: `drv_i915_pci_driver_register()` のみ公開。	exempt
p002	plan-records	plan/AGENTS.md	132	include/drivers/i915.h	stale: path -> include/drivers/pci/pci-i915.h	- `include/drivers/i915.h`: `drv_i915_pci_driver_register()` のみ公開。	exempt
p002	plan-records	plan/history/index.md	127	include/drivers/i915.h	stale: path -> include/drivers/pci/pci-i915.h	- `include/drivers/i915.h`: `drv_i915_pci_driver_register()` のみ公開。	exempt
p002	plan-records	plan/history/queue-q304.md	43	include/drivers/gpu.h	stale: path -> include/drivers/gpu/gpu.h	| `include/drivers/gpu.h` | `fbcdd1ec161f308b52399c78c10e28423e711dbc56a6538620484bf6d28c4a3e` |	exempt
p002	plan-records	plan/history/queue-q304.md	46	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	| `include/drivers/pci.h` | `e9ce00c11a77c94a2cd0f80b9e81f5c09fcc780425fec620b8685ab459bb9214` |	exempt
p002	plan-records	plan/history/queue-q305.md	41	include/drivers/gpu.h	stale: path -> include/drivers/gpu/gpu.h	| `include/drivers/gpu.h` | `4b9719e1a5bfc3c0f9c3defe5690e92f2d90211a9b96fe8cbb93b1935a095617` |	exempt
p002	plan-records	plan/history/queue-q305.md	48	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	| `include/drivers/pci.h` | `e9ce00c11a77c94a2cd0f80b9e81f5c09fcc780425fec620b8685ab459bb9214` |	exempt
p002	plan-records	plan/history/queue-q314.md	72	include/drivers/i915.h	stale: path -> include/drivers/pci/pci-i915.h	- `include/drivers/i915.h`: `drv_i915_pci_driver_register()` のみ公開。	exempt
p002	plan-records	plan/master.md	1165	include/drivers/hid/ps2-8042.h	stale: path -> include/drivers/platform/pcat/ps2-8042.h	ヘッダは `include/drivers/hid/ps2-8042.h`、入口は `drv_pcat_ps2_8042_init()`。	exempt
p002	plan-records	plan/master.md	1949	include/drivers/i915.h	stale: path -> include/drivers/pci/pci-i915.h	- `include/drivers/i915.h`: `drv_i915_pci_driver_register()` のみ公開。	exempt
p002	plan-records	plan/tmp/github-import/review/ws003-p003.md	148	include/drivers/pci.h	stale: path -> include/drivers/pci/pci.h	- `drivers/pci.c` and `include/drivers/pci.h`, if balanced command-state or BAR	exempt
