name	scope	extension
vkCreateInstance	VULKAN_ENTRY_GLOBAL	0
vkDestroyInstance	VULKAN_ENTRY_INSTANCE	0
vkEnumeratePhysicalDevices	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceFeatures	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceFormatProperties	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceImageFormatProperties	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceProperties	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceQueueFamilyProperties	VULKAN_ENTRY_INSTANCE	0
vkGetPhysicalDeviceMemoryProperties	VULKAN_ENTRY_INSTANCE	0
vkGetInstanceProcAddr	VULKAN_ENTRY_GLOBAL	0
vkGetDeviceProcAddr	VULKAN_ENTRY_DEVICE	0
vkCreateDevice	VULKAN_ENTRY_INSTANCE	0
vkDestroyDevice	VULKAN_ENTRY_DEVICE	0
vkEnumerateInstanceExtensionProperties	VULKAN_ENTRY_GLOBAL	0
vkEnumerateDeviceExtensionProperties	VULKAN_ENTRY_INSTANCE	0
vkEnumerateInstanceLayerProperties	VULKAN_ENTRY_GLOBAL	0
vkEnumerateDeviceLayerProperties	VULKAN_ENTRY_INSTANCE	0
vkGetDeviceQueue	VULKAN_ENTRY_DEVICE	0
vkQueueSubmit	VULKAN_ENTRY_DEVICE	0
vkQueueWaitIdle	VULKAN_ENTRY_DEVICE	0
vkDeviceWaitIdle	VULKAN_ENTRY_DEVICE	0
vkAllocateMemory	VULKAN_ENTRY_DEVICE	0
vkFreeMemory	VULKAN_ENTRY_DEVICE	0
vkMapMemory	VULKAN_ENTRY_DEVICE	0
vkUnmapMemory	VULKAN_ENTRY_DEVICE	0
vkFlushMappedMemoryRanges	VULKAN_ENTRY_DEVICE	0
vkInvalidateMappedMemoryRanges	VULKAN_ENTRY_DEVICE	0
vkGetDeviceMemoryCommitment	VULKAN_ENTRY_DEVICE	0
vkBindBufferMemory	VULKAN_ENTRY_DEVICE	0
vkBindImageMemory	VULKAN_ENTRY_DEVICE	0
vkGetBufferMemoryRequirements	VULKAN_ENTRY_DEVICE	0
vkGetImageMemoryRequirements	VULKAN_ENTRY_DEVICE	0
vkGetImageSparseMemoryRequirements	VULKAN_ENTRY_DEVICE	0
vkGetPhysicalDeviceSparseImageFormatProperties	VULKAN_ENTRY_INSTANCE	0
vkQueueBindSparse	VULKAN_ENTRY_DEVICE	0
vkCreateFence	VULKAN_ENTRY_DEVICE	0
vkDestroyFence	VULKAN_ENTRY_DEVICE	0
vkResetFences	VULKAN_ENTRY_DEVICE	0
vkGetFenceStatus	VULKAN_ENTRY_DEVICE	0
vkWaitForFences	VULKAN_ENTRY_DEVICE	0
vkCreateSemaphore	VULKAN_ENTRY_DEVICE	0
vkDestroySemaphore	VULKAN_ENTRY_DEVICE	0
vkCreateEvent	VULKAN_ENTRY_DEVICE	0
vkDestroyEvent	VULKAN_ENTRY_DEVICE	0
vkGetEventStatus	VULKAN_ENTRY_DEVICE	0
vkSetEvent	VULKAN_ENTRY_DEVICE	0
vkResetEvent	VULKAN_ENTRY_DEVICE	0
vkCreateQueryPool	VULKAN_ENTRY_DEVICE	0
vkDestroyQueryPool	VULKAN_ENTRY_DEVICE	0
vkGetQueryPoolResults	VULKAN_ENTRY_DEVICE	0
vkCreateBuffer	VULKAN_ENTRY_DEVICE	0
vkDestroyBuffer	VULKAN_ENTRY_DEVICE	0
vkCreateBufferView	VULKAN_ENTRY_DEVICE	0
vkDestroyBufferView	VULKAN_ENTRY_DEVICE	0
vkCreateImage	VULKAN_ENTRY_DEVICE	0
vkDestroyImage	VULKAN_ENTRY_DEVICE	0
vkGetImageSubresourceLayout	VULKAN_ENTRY_DEVICE	0
vkCreateImageView	VULKAN_ENTRY_DEVICE	0
vkDestroyImageView	VULKAN_ENTRY_DEVICE	0
vkCreateShaderModule	VULKAN_ENTRY_DEVICE	0
vkDestroyShaderModule	VULKAN_ENTRY_DEVICE	0
vkCreatePipelineCache	VULKAN_ENTRY_DEVICE	0
vkDestroyPipelineCache	VULKAN_ENTRY_DEVICE	0
vkGetPipelineCacheData	VULKAN_ENTRY_DEVICE	0
vkMergePipelineCaches	VULKAN_ENTRY_DEVICE	0
vkCreateGraphicsPipelines	VULKAN_ENTRY_DEVICE	0
vkCreateComputePipelines	VULKAN_ENTRY_DEVICE	0
vkDestroyPipeline	VULKAN_ENTRY_DEVICE	0
vkCreatePipelineLayout	VULKAN_ENTRY_DEVICE	0
vkDestroyPipelineLayout	VULKAN_ENTRY_DEVICE	0
vkCreateSampler	VULKAN_ENTRY_DEVICE	0
vkDestroySampler	VULKAN_ENTRY_DEVICE	0
vkCreateDescriptorSetLayout	VULKAN_ENTRY_DEVICE	0
vkDestroyDescriptorSetLayout	VULKAN_ENTRY_DEVICE	0
vkCreateDescriptorPool	VULKAN_ENTRY_DEVICE	0
vkDestroyDescriptorPool	VULKAN_ENTRY_DEVICE	0
vkResetDescriptorPool	VULKAN_ENTRY_DEVICE	0
vkAllocateDescriptorSets	VULKAN_ENTRY_DEVICE	0
vkFreeDescriptorSets	VULKAN_ENTRY_DEVICE	0
vkUpdateDescriptorSets	VULKAN_ENTRY_DEVICE	0
vkCreateFramebuffer	VULKAN_ENTRY_DEVICE	0
vkDestroyFramebuffer	VULKAN_ENTRY_DEVICE	0
vkCreateRenderPass	VULKAN_ENTRY_DEVICE	0
vkDestroyRenderPass	VULKAN_ENTRY_DEVICE	0
vkGetRenderAreaGranularity	VULKAN_ENTRY_DEVICE	0
vkCreateCommandPool	VULKAN_ENTRY_DEVICE	0
vkDestroyCommandPool	VULKAN_ENTRY_DEVICE	0
vkResetCommandPool	VULKAN_ENTRY_DEVICE	0
vkAllocateCommandBuffers	VULKAN_ENTRY_DEVICE	0
vkFreeCommandBuffers	VULKAN_ENTRY_DEVICE	0
vkBeginCommandBuffer	VULKAN_ENTRY_DEVICE	0
vkEndCommandBuffer	VULKAN_ENTRY_DEVICE	0
vkResetCommandBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdBindPipeline	VULKAN_ENTRY_DEVICE	0
vkCmdSetViewport	VULKAN_ENTRY_DEVICE	0
vkCmdSetScissor	VULKAN_ENTRY_DEVICE	0
vkCmdSetLineWidth	VULKAN_ENTRY_DEVICE	0
vkCmdSetDepthBias	VULKAN_ENTRY_DEVICE	0
vkCmdSetBlendConstants	VULKAN_ENTRY_DEVICE	0
vkCmdSetDepthBounds	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilCompareMask	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilWriteMask	VULKAN_ENTRY_DEVICE	0
vkCmdSetStencilReference	VULKAN_ENTRY_DEVICE	0
vkCmdBindDescriptorSets	VULKAN_ENTRY_DEVICE	0
vkCmdBindIndexBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdBindVertexBuffers	VULKAN_ENTRY_DEVICE	0
vkCmdDraw	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndexed	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdDrawIndexedIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdDispatch	VULKAN_ENTRY_DEVICE	0
vkCmdDispatchIndirect	VULKAN_ENTRY_DEVICE	0
vkCmdCopyBuffer	VULKAN_ENTRY_DEVICE	0
vkCmdCopyImage	VULKAN_ENTRY_DEVICE	0
vkCmdBlitImage	VULKAN_ENTRY_DEVICE	0
vkCmdCopyBufferToImage	VULKAN_ENTRY_DEVICE	0
vkCmdCopyImageToBuffer	VULKAN_ENTRY_DEVICE	0
